Course ID,Number of Rejections,Number of FirstPreference Rejections,Course Capacity,Number of Rejections / Capacity,Number of FirstPreference Rejections / Capacity
AS1020$inside,0,0,37,0.0,0.0
AS1020$outside,0,0,8,0.0,0.0
AS1020*$inside,0,0,37,0.0,0.0
AS1020*$outside,0,0,6,0.0,0.0
AS2100$inside,0,0,57,0.0,0.0
AS2100$outside,0,0,8,0.0,0.0
AS2101$inside,0,0,57,0.0,0.0
AS2101$outside,0,0,5,0.0,0.0
AS2520$inside,0,0,57,0.0,0.0
AS2520$outside,0,0,5,0.0,0.0
AS3020$inside,0,0,62,0.0,0.0
AS3020$outside,0,0,8,0.0,0.0
AS5420$inside,3,2,2,1.5,1.0
AS5420$outside,1,0,3,0.33,0.0
AS6020$inside,0,0,22,0.0,0.0
AS6020$outside,0,0,7,0.0,0.0
AS6050$inside,0,0,22,0.0,0.0
AS6050$outside,0,0,8,0.0,0.0
AS6340$inside,0,0,22,0.0,0.0
AS6340$outside,0,0,8,0.0,0.0
BT1022$inside,0,0,40,0.0,0.0
BT1022$outside,0,0,0,0.0,0.0
BT2010$inside,0,0,0,0.0,0.0
BT2010$outside,0,0,14,0.0,0.0
BT2012$inside,0,0,29,0.0,0.0
BT2012$outside,0,0,6,0.0,0.0
BT2030$inside,0,0,0,0.0,0.0
BT2030$outside,0,0,13,0.0,0.0
BT2062$inside,0,0,30,0.0,0.0
BT2062$outside,0,0,10,0.0,0.0
BT3012$inside,0,0,0,0.0,0.0
BT3012$outside,0,0,20,0.0,0.0
BT3031$inside,0,0,35,0.0,0.0
BT3031$outside,0,0,19,0.0,0.0
BT3032$inside,0,0,15,0.0,0.0
BT3032$outside,0,0,20,0.0,0.0
BT3051$inside,0,0,12,0.0,0.0
BT3051$outside,0,0,5,0.0,0.0
BT3071$inside,0,0,55,0.0,0.0
BT3071$outside,0,0,0,0.0,0.0
BT3072$inside,0,0,34,0.0,0.0
BT3072$outside,0,0,9,0.0,0.0
BT3230$inside,0,0,27,0.0,0.0
BT3230$outside,0,0,20,0.0,0.0
BT5012$inside,0,0,49,0.0,0.0
BT5012$outside,0,0,10,0.0,0.0
BT5021$inside,0,0,0,0.0,0.0
BT5021$outside,0,0,20,0.0,0.0
BT5230$inside,0,0,30,0.0,0.0
BT5230$outside,0,0,10,0.0,0.0
BT5340$inside,0,0,30,0.0,0.0
BT5340$outside,0,0,10,0.0,0.0
BT5370$inside,0,0,0,0.0,0.0
BT5370$outside,0,0,10,0.0,0.0
BT5420$inside,0,0,30,0.0,0.0
BT5420$outside,0,0,20,0.0,0.0
BT6270$inside,0,0,30,0.0,0.0
BT6270$outside,0,0,27,0.0,0.0
CE2040$inside,0,0,110,0.0,0.0
CE2040$outside,0,0,10,0.0,0.0
CE2080$inside,0,0,109,0.0,0.0
CE2080$outside,0,0,10,0.0,0.0
CE3310$inside,0,0,26,0.0,0.0
CE3310$outside,0,0,6,0.0,0.0
CE4720$inside,0,0,50,0.0,0.0
CE4720$outside,0,0,10,0.0,0.0
CE4810$inside,0,0,50,0.0,0.0
CE4810$outside,0,0,10,0.0,0.0
CE5450$inside,0,0,55,0.0,0.0
CE5450$outside,0,0,4,0.0,0.0
CE5830$inside,0,0,55,0.0,0.0
CE5830$outside,0,0,5,0.0,0.0
CE5870$inside,0,0,55,0.0,0.0
CE5870$outside,0,0,5,0.0,0.0
CE5900$inside,0,0,55,0.0,0.0
CE5900$outside,0,0,5,0.0,0.0
CE6010$inside,0,0,55,0.0,0.0
CE6010$outside,0,0,5,0.0,0.0
CE6016$inside,0,0,47,0.0,0.0
CE6016$outside,0,0,10,0.0,0.0
CE6050$inside,0,0,5,0.0,0.0
CE6050$outside,0,0,0,0.0,0.0
GN5001$inside,0,0,50,0.0,0.0
GN5001$outside,0,0,54,0.0,0.0
ID6090$inside,0,0,50,0.0,0.0
ID6090$outside,0,0,10,0.0,0.0
CA5310$inside,0,0,5,0.0,0.0
CA5310$outside,0,0,5,0.0,0.0
CH3150$inside,9,7,0,0.0,0.0
CH3150$outside,8,0,1,8.0,0.0
CH3160$inside,0,0,20,0.0,0.0
CH3160$outside,0,0,10,0.0,0.0
CH3170$inside,1,0,7,0.14,0.0
CH3170$outside,0,0,4,0.0,0.0
CH4960$inside,0,0,15,0.0,0.0
CH4960$outside,0,0,13,0.0,0.0
CH5011$inside,7,3,0,0.0,0.0
CH5011$outside,3,0,4,0.75,0.0
CH5014$inside,0,0,5,0.0,0.0
CH5014$outside,0,0,20,0.0,0.0
CH5016$inside,0,0,5,0.0,0.0
CH5016$outside,0,0,15,0.0,0.0
CH5017$inside,11,6,1,11.0,6.0
CH5017$outside,7,0,4,1.75,0.0
CH5120$inside,0,0,4,0.0,0.0
CH5120$outside,0,0,0,0.0,0.0
CH5130$inside,0,0,5,0.0,0.0
CH5130$outside,0,0,5,0.0,0.0
CH5170$inside,0,0,0,0.0,0.0
CH5170$outside,2,2,2,1.0,1.0
CH5240$inside,0,0,0,0.0,0.0
CH5240$outside,0,0,0,0.0,0.0
CH5350$inside,3,3,0,0.0,0.0
CH5350$outside,5,0,1,5.0,0.0
CH5370$inside,0,0,30,0.0,0.0
CH5370$outside,0,0,10,0.0,0.0
CS2300$inside,0,0,0,0.0,0.0
CS2300$outside,0,0,9,0.0,0.0
CS2700$inside,0,0,0,0.0,0.0
CS2700$outside,2,2,10,0.2,0.2
CS2710$inside,0,0,0,0.0,0.0
CS2710$outside,0,0,10,0.0,0.0
CS3100$inside,0,0,0,0.0,0.0
CS3100$outside,0,0,8,0.0,0.0
CS3500$inside,0,0,0,0.0,0.0
CS3500$outside,0,0,10,0.0,0.0
CS3700$inside,0,0,47,0.0,0.0
CS3700$outside,0,0,0,0.0,0.0
CS4011$inside,0,0,9,0.0,0.0
CS4011$outside,0,0,10,0.0,0.0
CS5820$inside,0,0,20,0.0,0.0
CS5820$outside,0,0,10,0.0,0.0
CS6014$inside,0,0,20,0.0,0.0
CS6014$outside,0,0,10,0.0,0.0
CS6023$inside,0,0,20,0.0,0.0
CS6023$outside,0,0,7,0.0,0.0
CS6100$inside,0,0,20,0.0,0.0
CS6100$outside,0,0,9,0.0,0.0
CS6111$inside,0,0,12,0.0,0.0
CS6111$outside,0,0,10,0.0,0.0
CS6190$inside,0,0,20,0.0,0.0
CS6190$outside,0,0,10,0.0,0.0
CS6230$inside,0,0,20,0.0,0.0
CS6230$outside,0,0,20,0.0,0.0
CS6251$inside,0,0,20,0.0,0.0
CS6251$outside,0,0,10,0.0,0.0
CS6440$inside,0,0,30,0.0,0.0
CS6440$outside,0,0,0,0.0,0.0
CS6500$inside,0,0,20,0.0,0.0
CS6500$outside,0,0,10,0.0,0.0
CS6570$inside,0,0,30,0.0,0.0
CS6570$outside,0,0,0,0.0,0.0
CS6600$inside,0,0,19,0.0,0.0
CS6600$outside,0,0,10,0.0,0.0
CS6777$inside,0,0,20,0.0,0.0
CS6777$outside,0,0,10,0.0,0.0
CS6842$inside,0,0,18,0.0,0.0
CS6842$outside,0,0,10,0.0,0.0
ED1031$inside,0,0,55,0.0,0.0
ED1031$outside,0,0,5,0.0,0.0
ED2012$inside,0,0,55,0.0,0.0
ED2012$outside,0,0,5,0.0,0.0
ED2130$inside,0,0,8,0.0,0.0
ED2130$outside,0,0,5,0.0,0.0
ED2140$inside,0,0,55,0.0,0.0
ED2140$outside,0,0,5,0.0,0.0
ED3010$inside,0,0,55,0.0,0.0
ED3010$outside,0,0,5,0.0,0.0
ED3153$inside,0,0,10,0.0,0.0
ED3153$outside,0,0,4,0.0,0.0
ED5016$inside,0,0,32,0.0,0.0
ED5016$outside,0,0,5,0.0,0.0
ED5040$inside,0,0,13,0.0,0.0
ED5040$outside,0,0,5,0.0,0.0
ED5053$inside,0,0,25,0.0,0.0
ED5053$outside,0,0,0,0.0,0.0
ED5160$inside,0,0,45,0.0,0.0
ED5160$outside,0,0,5,0.0,0.0
ED5312$inside,0,0,25,0.0,0.0
ED5312$outside,0,0,5,0.0,0.0
ED5314$inside,0,0,0,0.0,0.0
ED5314$outside,0,0,15,0.0,0.0
ED5315$inside,0,0,35,0.0,0.0
ED5315$outside,0,0,5,0.0,0.0
ED5317$inside,0,0,34,0.0,0.0
ED5317$outside,0,0,5,0.0,0.0
ED5319$inside,0,0,25,0.0,0.0
ED5319$outside,0,0,5,0.0,0.0
ED5321$inside,0,0,25,0.0,0.0
ED5321$outside,0,0,5,0.0,0.0
ED5330$inside,0,0,25,0.0,0.0
ED5330$outside,0,0,5,0.0,0.0
ED6001$inside,0,0,25,0.0,0.0
ED6001$outside,0,0,5,0.0,0.0
EE1100$inside,0,0,0,0.0,0.0
EE1100$outside,0,0,6,0.0,0.0
EE2003$inside,0,0,48,0.0,0.0
EE2003$outside,0,0,5,0.0,0.0
EE2015$inside,0,0,0,0.0,0.0
EE2015$outside,0,0,16,0.0,0.0
EE2016$inside,0,0,0,0.0,0.0
EE2016$outside,0,0,6,0.0,0.0
EE2025$inside,0,0,0,0.0,0.0
EE2025$outside,0,0,7,0.0,0.0
EE3002$inside,0,0,79,0.0,0.0
EE3002$outside,0,0,5,0.0,0.0
EE3003$inside,0,0,110,0.0,0.0
EE3003$outside,0,0,6,0.0,0.0
EE3004$inside,0,0,0,0.0,0.0
EE3004$outside,0,0,2,0.0,0.0
EE3005$inside,0,0,37,0.0,0.0
EE3005$outside,0,0,6,0.0,0.0
EE3301$inside,0,0,0,0.0,0.0
EE3301$outside,0,0,22,0.0,0.0
EE3313$inside,0,0,112,0.0,0.0
EE3313$outside,0,0,6,0.0,0.0
HS1090+$inside,0,0,0,0.0,0.0
HS1090+$outside,0,0,0,0.0,0.0
HS2030$inside,0,0,0,0.0,0.0
HS2030$outside,42,33,5,8.4,6.6
HS3002$inside,0,0,0,0.0,0.0
HS3002$outside,0,0,0,0.0,0.0
HS3002A$inside,0,0,0,0.0,0.0
HS3002A$outside,0,0,0,0.0,0.0
HS3002B$inside,0,0,0,0.0,0.0
HS3002B$outside,0,0,0,0.0,0.0
HS3002C$inside,0,0,0,0.0,0.0
HS3002C$outside,0,0,0,0.0,0.0
HS3060$inside,0,0,0,0.0,0.0
HS3060$outside,0,0,44,0.0,0.0
HS4002$inside,0,0,0,0.0,0.0
HS4002$outside,0,0,31,0.0,0.0
HS4005$inside,0,0,0,0.0,0.0
HS4005$outside,0,0,45,0.0,0.0
HS4006$inside,0,0,0,0.0,0.0
HS4006$outside,0,0,0,0.0,0.0
HS4210$inside,0,0,0,0.0,0.0
HS4210$outside,0,0,44,0.0,0.0
HS4350$inside,0,0,0,0.0,0.0
HS4350$outside,16,0,35,0.46,0.0
HS4571$inside,0,0,0,0.0,0.0
HS4571$outside,0,0,28,0.0,0.0
HS5920$inside,0,0,0,0.0,0.0
HS5920$outside,14,7,1,14.0,7.0
MA2010$inside,0,0,111,0.0,0.0
MA2010$outside,0,0,70,0.0,0.0
MA2020$inside,0,0,0,0.0,0.0
MA2020$outside,20,14,21,0.95,0.67
MA2031$inside,0,0,0,0.0,0.0
MA2031$outside,20,11,2,10.0,5.5
MA2040$inside,0,0,0,0.0,0.0
MA2040$outside,0,0,70,0.0,0.0
MA2130$inside,0,0,61,0.0,0.0
MA2130$outside,0,0,7,0.0,0.0
ME3310$inside,0,0,28,0.0,0.0
ME3310$outside,0,0,0,0.0,0.0
ME4003$inside,0,0,42,0.0,0.0
ME4003$outside,0,0,8,0.0,0.0
ME4290$inside,0,0,15,0.0,0.0
ME4290$outside,0,0,10,0.0,0.0
ID6021$inside,0,0,0,0.0,0.0
ID6021$outside,0,0,29,0.0,0.0
MM2015$inside,0,0,24,0.0,0.0
MM2015$outside,0,0,28,0.0,0.0
MM2080$inside,0,0,10,0.0,0.0
MM2080$outside,0,0,30,0.0,0.0
MM3012$inside,3,2,0,0.0,0.0
MM3012$outside,0,0,11,0.0,0.0
MM3090$inside,0,0,30,0.0,0.0
MM3090$outside,0,0,30,0.0,0.0
MM5003$inside,0,0,0,0.0,0.0
MM5003$outside,0,0,27,0.0,0.0
MM5010$inside,0,0,0,0.0,0.0
MM5010$outside,0,0,25,0.0,0.0
MM5021$inside,0,0,10,0.0,0.0
MM5021$outside,0,0,30,0.0,0.0
MM5023$inside,0,0,0,0.0,0.0
MM5023$outside,0,0,30,0.0,0.0
MM5040$inside,1,1,0,0.0,0.0
MM5040$outside,0,0,28,0.0,0.0
MM5700$inside,0,0,40,0.0,0.0
MM5700$outside,0,0,29,0.0,0.0
MM6020$inside,0,0,0,0.0,0.0
MM6020$outside,0,0,25,0.0,0.0
MT4030$inside,0,0,0,0.0,0.0
MT4030$outside,0,0,25,0.0,0.0
MS3510#$inside,0,0,0,0.0,0.0
MS3510#$outside,0,0,33,0.0,0.0
MS3510+$inside,0,0,0,0.0,0.0
MS3510+$outside,0,0,60,0.0,0.0
MS3610$inside,0,0,0,0.0,0.0
MS3610$outside,0,0,20,0.0,0.0
MS5100$inside,0,0,0,0.0,0.0
MS5100$outside,0,0,70,0.0,0.0
OE3045$inside,0,0,60,0.0,0.0
OE3045$outside,0,0,0,0.0,0.0
OE3190$inside,0,0,32,0.0,0.0
OE3190$outside,0,0,0,0.0,0.0
EP2102$inside,0,0,0,0.0,0.0
EP2102$outside,0,0,10,0.0,0.0
EP2110$inside,0,0,0,0.0,0.0
EP2110$outside,0,0,9,0.0,0.0
ID6030$inside,1,1,0,0.0,0.0
ID6030$outside,0,0,36,0.0,0.0
PH2170$inside,0,0,0,0.0,0.0
PH2170$outside,0,0,13,0.0,0.0
PH5110$inside,0,0,18,0.0,0.0
PH5110$outside,0,0,4,0.0,0.0
PH6022$inside,0,0,7,0.0,0.0
PH6022$outside,0,0,6,0.0,0.0
AM1100$inside,0,0,0,0.0,0.0
AM1100$outside,0,0,0,0.0,0.0
AM2200$inside,0,0,0,0.0,0.0
AM2200$outside,0,0,0,0.0,0.0
AM2530$inside,0,0,0,0.0,0.0
AM2530$outside,0,0,0,0.0,0.0
AM2540$inside,0,0,0,0.0,0.0
AM2540$outside,0,0,0,0.0,0.0
AS2010$inside,0,0,37,0.0,0.0
AS2010$outside,0,0,8,0.0,0.0
AS2010*$inside,0,0,37,0.0,0.0
AS2010*$outside,0,0,8,0.0,0.0
AS2040$inside,0,0,62,0.0,0.0
AS2040$outside,0,0,8,0.0,0.0
AS3270$inside,0,0,62,0.0,0.0
AS3270$outside,0,0,8,0.0,0.0
AS3510$inside,0,0,57,0.0,0.0
AS3510$outside,0,0,8,0.0,0.0
BT1010$inside,0,0,420,0.0,0.0
BT1010$outside,0,0,0,0.0,0.0
BT2111$inside,0,0,40,0.0,0.0
BT2111$outside,0,0,0,0.0,0.0
BT2112$inside,0,0,60,0.0,0.0
BT2112$outside,0,0,0,0.0,0.0
BT2121$inside,0,0,60,0.0,0.0
BT2121$outside,0,0,0,0.0,0.0
BT3011$inside,0,0,40,0.0,0.0
BT3011$outside,0,0,20,0.0,0.0
CE1010$inside,0,0,120,0.0,0.0
CE1010$outside,0,0,0,0.0,0.0
CE2310$inside,0,0,110,0.0,0.0
CE2310$outside,0,0,10,0.0,0.0
CE3010$inside,0,0,110,0.0,0.0
CE3010$outside,0,0,10,0.0,0.0
CE3030$inside,0,0,110,0.0,0.0
CE3030$outside,0,0,10,0.0,0.0
CE3350$inside,0,0,110,0.0,0.0
CE3350$outside,0,0,10,0.0,0.0
CE3410$inside,0,0,110,0.0,0.0
CE3410$outside,0,0,10,0.0,0.0
CE4010$inside,0,0,110,0.0,0.0
CE4010$outside,0,0,10,0.0,0.0
CE4030$inside,0,0,110,0.0,0.0
CE4030$outside,0,0,10,0.0,0.0
CH2010$inside,0,0,0,0.0,0.0
CH2010$outside,0,0,0,0.0,0.0
CH2012$inside,0,0,0,0.0,0.0
CH2012$outside,0,0,5,0.0,0.0
CH2013$inside,0,0,0,0.0,0.0
CH2013$outside,0,0,0,0.0,0.0
CH2061$inside,0,0,0,0.0,0.0
CH2061$outside,0,0,5,0.0,0.0
CH3010$inside,0,0,0,0.0,0.0
CH3010$outside,0,0,0,0.0,0.0
CH3030$inside,0,0,0,0.0,0.0
CH3030$outside,0,0,5,0.0,0.0
CH3510$inside,0,0,0,0.0,0.0
CH3510$outside,0,0,0,0.0,0.0
CH3520$inside,0,0,0,0.0,0.0
CH3520$outside,0,0,0,0.0,0.0
CS1100a$inside,0,0,0,0.0,0.0
CS1100a$outside,0,0,0,0.0,0.0
CS1100b$inside,0,0,0,0.0,0.0
CS1100b$outside,0,0,0,0.0,0.0
CS1100c$inside,0,0,0,0.0,0.0
CS1100c$outside,0,0,6,0.0,0.0
CS1100d$inside,0,0,0,0.0,0.0
CS1100d$outside,0,0,6,0.0,0.0
CS2310$inside,0,0,0,0.0,0.0
CS2310$outside,0,0,10,0.0,0.0
CS3300$inside,0,0,0,0.0,0.0
CS3300$outside,0,0,10,0.0,0.0
CY1001$inside,0,0,0,0.0,0.0
CY1001$outside,0,0,0,0.0,0.0
CY1002a$inside,0,0,0,0.0,0.0
CY1002a$outside,0,0,0,0.0,0.0
CY1002b$inside,0,0,0,0.0,0.0
CY1002b$outside,0,0,0,0.0,0.0
CY1002c$inside,0,0,0,0.0,0.0
CY1002c$outside,0,0,0,0.0,0.0
CY1002d$inside,0,0,0,0.0,0.0
CY1002d$outside,0,0,0,0.0,0.0
CY1050$inside,0,0,0,0.0,0.0
CY1050$outside,0,0,0,0.0,0.0
ED1021$inside,0,0,55,0.0,0.0
ED1021$outside,0,0,5,0.0,0.0
ED1034$inside,0,0,55,0.0,0.0
ED1034$outside,0,0,5,0.0,0.0
ED2011$inside,0,0,50,0.0,0.0
ED2011$outside,0,0,10,0.0,0.0
ED5052$inside,0,0,55,0.0,0.0
ED5052$outside,0,0,5,0.0,0.0
EE3006$inside,0,0,1,0.0,0.0
EE3006$outside,0,0,0,0.0,0.0
EP2090$inside,0,0,0,0.0,0.0
EP2090$outside,0,0,0,0.0,0.0
EP2210$inside,0,0,0,0.0,0.0
EP2210$outside,0,0,0,0.0,0.0
EP3110$inside,0,0,0,0.0,0.0
EP3110$outside,0,0,0,0.0,0.0
EP3290$inside,0,0,0,0.0,0.0
EP3290$outside,0,0,0,0.0,0.0
HS3050$inside,0,0,0,0.0,0.0
HS3050$outside,0,0,0,0.0,0.0
ID1200a$inside,0,0,100,0.0,0.0
ID1200a$outside,0,0,400,0.0,0.0
ID1200b$inside,0,0,0,0.0,0.0
ID1200b$outside,0,0,0,0.0,0.0
ID1200c$inside,0,0,0,0.0,0.0
ID1200c$outside,0,0,0,0.0,0.0
ID1200d$inside,0,0,0,0.0,0.0
ID1200d$outside,0,0,0,0.0,0.0
MA1101a$inside,0,0,0,0.0,0.0
MA1101a$outside,0,0,70,0.0,0.0
MA1101b$inside,0,0,0,0.0,0.0
MA1101b$outside,0,0,70,0.0,0.0
ME1100$inside,0,0,150,0.0,0.0
ME1100$outside,0,0,350,0.0,0.0
ME2220$inside,0,0,170,0.0,0.0
ME2220$outside,0,0,15,0.0,0.0
ME3103$inside,0,0,170,0.0,0.0
ME3103$outside,0,0,15,0.0,0.0
ME3170$inside,0,0,170,0.0,0.0
ME3170$outside,0,0,15,0.0,0.0
ME3201$inside,0,0,165,0.0,0.0
ME3201$outside,0,0,10,0.0,0.0
ME3281$inside,0,0,45,0.0,0.0
ME3281$outside,0,0,0,0.0,0.0
ME3301$inside,0,0,180,0.0,0.0
ME3301$outside,0,0,10,0.0,0.0
ME3481$inside,0,0,155,0.0,0.0
ME3481$outside,0,0,0,0.0,0.0
MM2010$inside,0,0,26,0.0,0.0
MM2010$outside,0,0,30,0.0,0.0
MM2013$inside,0,0,20,0.0,0.0
MM2013$outside,0,0,30,0.0,0.0
MM3010$inside,0,0,15,0.0,0.0
MM3010$outside,0,0,30,0.0,0.0
MM3030$inside,0,0,35,0.0,0.0
MM3030$outside,0,0,30,0.0,0.0
OE2013$inside,0,0,60,0.0,0.0
OE2013$outside,0,0,0,0.0,0.0
OE2023$inside,0,0,60,0.0,0.0
OE2023$outside,0,0,0,0.0,0.0
OE3015$inside,0,0,60,0.0,0.0
OE3015$outside,0,0,0,0.0,0.0
OE3025$inside,0,0,60,0.0,0.0
OE3025$outside,0,0,0,0.0,0.0
OE3035$inside,0,0,60,0.0,0.0
OE3035$outside,0,0,0,0.0,0.0
PH1010a$inside,0,0,0,0.0,0.0
PH1010a$outside,0,0,0,0.0,0.0
PH1010b$inside,0,0,0,0.0,0.0
PH1010b$outside,0,0,0,0.0,0.0
PH1020$inside,0,0,0,0.0,0.0
PH1020$outside,0,0,0,0.0,0.0
PH1030$inside,0,0,0,0.0,0.0
PH1030$outside,0,0,0,0.0,0.0
PH2050$inside,0,0,0,0.0,0.0
PH2050$outside,0,0,0,0.0,0.0
PH2140$inside,0,0,0,0.0,0.0
PH2140$outside,0,0,0,0.0,0.0
PH5030$inside,0,0,0,0.0,0.0
PH5030$outside,0,0,0,0.0,0.0
PH5040$inside,0,0,0,0.0,0.0
PH5040$outside,0,0,0,0.0,0.0
PH5050$inside,0,0,0,0.0,0.0
PH5050$outside,0,0,5,0.0,0.0
PH5060$inside,0,0,0,0.0,0.0
PH5060$outside,0,0,0,0.0,0.0
PH5100$inside,0,0,0,0.0,0.0
PH5100$outside,0,0,0,0.0,0.0
AE5700$inside,0,0,22,0.0,0.0
AE5700$outside,0,0,8,0.0,0.0
AS5012$inside,0,0,22,0.0,0.0
AS5012$outside,0,0,8,0.0,0.0
AS5320$inside,0,0,22,0.0,0.0
AS5320$outside,0,0,8,0.0,0.0
AS5370$inside,0,0,22,0.0,0.0
AS5370$outside,0,0,8,0.0,0.0
AS5860$inside,0,0,22,0.0,0.0
AS5860$outside,0,0,8,0.0,0.0
AS5900$inside,0,0,22,0.0,0.0
AS5900$outside,0,0,8,0.0,0.0
BT6220$inside,0,0,0,0.0,0.0
BT6220$outside,0,0,10,0.0,0.0
CA5010$inside,0,0,10,0.0,0.0
CA5010$outside,0,0,10,0.0,0.0
CA5020$inside,0,0,10,0.0,0.0
CA5020$outside,0,0,10,0.0,0.0
CA5320$inside,0,0,5,0.0,0.0
CA5320$outside,0,0,5,0.0,0.0
CE3100$inside,0,0,120,0.0,0.0
CE3100$outside,0,0,0,0.0,0.0
CE4310$inside,0,0,50,0.0,0.0
CE4310$outside,0,0,10,0.0,0.0
CE4670$inside,0,0,60,0.0,0.0
CE4670$outside,0,0,0,0.0,0.0
CE5010$inside,0,0,55,0.0,0.0
CE5010$outside,0,0,5,0.0,0.0
CE5020$inside,0,0,55,0.0,0.0
CE5020$outside,0,0,5,0.0,0.0
CE5080$inside,0,0,50,0.0,0.0
CE5080$outside,0,0,10,0.0,0.0
CE5110$inside,0,0,55,0.0,0.0
CE5110$outside,0,0,5,0.0,0.0
CE5120$inside,0,0,55,0.0,0.0
CE5120$outside,0,0,5,0.0,0.0
CE5130$inside,0,0,55,0.0,0.0
CE5130$outside,0,0,5,0.0,0.0
CE5150$inside,0,0,55,0.0,0.0
CE5150$outside,0,0,5,0.0,0.0
CE5170$inside,0,0,55,0.0,0.0
CE5170$outside,0,0,5,0.0,0.0
CE5260$inside,0,0,55,0.0,0.0
CE5260$outside,0,0,5,0.0,0.0
CE5310$inside,0,0,60,0.0,0.0
CE5310$outside,0,0,0,0.0,0.0
CE5320$inside,0,0,55,0.0,0.0
CE5320$outside,0,0,5,0.0,0.0
CE5330$inside,0,0,60,0.0,0.0
CE5330$outside,0,0,0,0.0,0.0
CE5360$inside,0,0,55,0.0,0.0
CE5360$outside,0,0,5,0.0,0.0
CE5460$inside,0,0,55,0.0,0.0
CE5460$outside,0,0,5,0.0,0.0
CE5470$inside,0,0,55,0.0,0.0
CE5470$outside,0,0,5,0.0,0.0
CE5530$inside,0,0,55,0.0,0.0
CE5530$outside,0,0,5,0.0,0.0
CE5590$inside,0,0,55,0.0,0.0
CE5590$outside,0,0,5,0.0,0.0
CE5620$inside,0,0,55,0.0,0.0
CE5620$outside,0,0,5,0.0,0.0
CE5710$inside,0,0,55,0.0,0.0
CE5710$outside,0,0,5,0.0,0.0
CE5720$inside,0,0,55,0.0,0.0
CE5720$outside,0,0,5,0.0,0.0
CE5810$inside,0,0,55,0.0,0.0
CE5810$outside,0,0,5,0.0,0.0
CE5970$inside,0,0,55,0.0,0.0
CE5970$outside,0,0,5,0.0,0.0
CE6015$inside,0,0,55,0.0,0.0
CE6015$outside,0,0,5,0.0,0.0
CE6810$inside,0,0,60,0.0,0.0
CE6810$outside,0,0,0,0.0,0.0
CE6840$inside,0,0,60,0.0,0.0
CE6840$outside,0,0,0,0.0,0.0
CH5190$inside,0,0,5,0.0,0.0
CH5190$outside,0,0,5,0.0,0.0
ED5011$inside,0,0,25,0.0,0.0
ED5011$outside,0,0,5,0.0,0.0
EE1103$inside,0,0,36,0.0,0.0
EE1103$outside,0,0,4,0.0,0.0
EP3200$inside,0,0,0,0.0,0.0
EP3200$outside,0,0,30,0.0,0.0
ID1200$inside,0,0,100,0.0,0.0
ID1200$outside,0,0,400,0.0,0.0
ID6050$inside,0,0,0,0.0,0.0
ID6050$outside,0,0,30,0.0,0.0
ID6060$inside,0,0,0,0.0,0.0
ID6060$outside,0,0,30,0.0,0.0
ID6103$inside,0,0,0,0.0,0.0
ID6103$outside,0,0,30,0.0,0.0
MA1101$inside,0,0,0,0.0,0.0
MA1101$outside,0,0,70,0.0,0.0
ME3190$inside,0,0,35,0.0,0.0
ME3190$outside,0,0,0,0.0,0.0
ME5125$inside,0,0,50,0.0,0.0
ME5125$outside,0,0,0,0.0,0.0
MM3330$inside,0,0,0,0.0,0.0
MM3330$outside,0,0,20,0.0,0.0
MM3340$inside,0,0,0,0.0,0.0
MM3340$outside,0,0,25,0.0,0.0
MM4010$inside,0,0,35,0.0,0.0
MM4010$outside,0,0,30,0.0,0.0
MM4190$inside,0,0,0,0.0,0.0
MM4190$outside,0,0,20,0.0,0.0
MM5001$inside,0,0,0,0.0,0.0
MM5001$outside,0,0,30,0.0,0.0
MM5012$inside,0,0,0,0.0,0.0
MM5012$outside,0,0,30,0.0,0.0
MM5013$inside,0,0,0,0.0,0.0
MM5013$outside,0,0,30,0.0,0.0
MM5090$inside,0,0,0,0.0,0.0
MM5090$outside,0,0,30,0.0,0.0
MM5104$inside,0,0,0,0.0,0.0
MM5104$outside,0,0,15,0.0,0.0
MM5210$inside,0,0,24,0.0,0.0
MM5210$outside,0,0,30,0.0,0.0
MM5330$inside,0,0,0,0.0,0.0
MM5330$outside,0,0,30,0.0,0.0
MM5520$inside,0,0,20,0.0,0.0
MM5520$outside,0,0,30,0.0,0.0
MM5610$inside,0,0,10,0.0,0.0
MM5610$outside,0,0,30,0.0,0.0
OE1101$inside,0,0,60,0.0,0.0
OE1101$outside,0,0,0,0.0,0.0
OE3130$inside,0,0,22,0.0,0.0
OE3130$outside,0,0,0,0.0,0.0
PH3500$inside,0,0,0,0.0,0.0
PH3500$outside,0,0,50,0.0,0.0
EP2100$inside,0,0,20,0.0,0.0
EP2100$outside,0,0,5,0.0,0.0
BT1000$inside,0,0,70,0.0,0.0
BT1000$outside,0,0,0,0.0,0.0
